Node_U,Node_V,Layer,weight
176.0,174.0,Layer_1,108.59586457555801
36.0,11.0,Layer_1,1011.1083161910415
36.0,2.0,Layer_1,838.2831189376086
11.0,2.0,Layer_1,324.85174133441905
75.0,39.0,Layer_5,759.0160529098424
19.0,28.0,Layer_5,1512.4388671184615
33.0,11.0,Layer_5,2109.9782967268825
39.0,20.0,Layer_5,885.4763801089143
39.0,62.0,Layer_5,785.6463570572163
20.0,62.0,Layer_5,986.2639644340416
11.0,28.0,Layer_5,1703.8829064743538
62.0,37.0,Layer_5,1933.8259993906975
141.0,133.0,Layer_5,30.926608635301598
17.0,28.0,Layer_5,1108.4542224252716
