Node_U,Node_V,Layer,weight
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_2,36.198621525186
176.0,174.0,Layer_4,36.198621525186
36.0,11.0,Layer_1,337.03610539701384
36.0,11.0,Layer_2,337.03610539701384
36.0,11.0,Layer_4,337.03610539701384
36.0,2.0,Layer_1,279.4277063125362
36.0,2.0,Layer_2,279.4277063125362
36.0,2.0,Layer_4,279.4277063125362
11.0,2.0,Layer_1,108.28391377813966
11.0,2.0,Layer_2,108.28391377813966
11.0,2.0,Layer_4,108.28391377813966
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_2,36.198621525186
176.0,174.0,Layer_5,36.198621525186
75.0,39.0,Layer_1,253.00535096994747
75.0,39.0,Layer_2,253.00535096994747
75.0,39.0,Layer_5,253.00535096994747
19.0,28.0,Layer_1,504.1462890394871
19.0,28.0,Layer_2,504.1462890394871
19.0,28.0,Layer_5,504.1462890394871
36.0,11.0,Layer_1,429.1656989415358
36.0,11.0,Layer_2,429.1656989415358
36.0,11.0,Layer_5,429.1656989415358
36.0,2.0,Layer_1,279.4277063125362
36.0,2.0,Layer_2,279.4277063125362
36.0,2.0,Layer_5,279.4277063125362
33.0,11.0,Layer_1,630.3151234215861
33.0,11.0,Layer_2,630.3151234215861
33.0,11.0,Layer_5,630.3151234215861
39.0,20.0,Layer_1,295.1587933696381
39.0,20.0,Layer_2,295.1587933696381
39.0,20.0,Layer_5,295.1587933696381
39.0,62.0,Layer_1,261.8821190190721
39.0,62.0,Layer_2,261.8821190190721
39.0,62.0,Layer_5,261.8821190190721
20.0,62.0,Layer_1,328.7546548113471
20.0,62.0,Layer_2,328.7546548113471
20.0,62.0,Layer_5,328.7546548113471
11.0,2.0,Layer_1,200.4135073226617
11.0,2.0,Layer_2,200.4135073226617
11.0,2.0,Layer_5,200.4135073226617
11.0,28.0,Layer_1,494.94999333741
11.0,28.0,Layer_2,494.94999333741
11.0,28.0,Layer_5,494.94999333741
6.0,62.0,Layer_1,268.5302778116722
6.0,62.0,Layer_2,268.5302778116722
6.0,62.0,Layer_5,268.5302778116722
6.0,37.0,Layer_1,379.7550844327744
6.0,37.0,Layer_2,379.7550844327744
6.0,37.0,Layer_5,379.7550844327744
62.0,37.0,Layer_1,406.7027870818834
62.0,37.0,Layer_2,406.7027870818834
62.0,37.0,Layer_5,406.7027870818834
141.0,133.0,Layer_1,10.308869545100533
141.0,133.0,Layer_2,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
17.0,28.0,Layer_1,369.4847408084239
17.0,28.0,Layer_2,369.4847408084239
17.0,28.0,Layer_5,369.4847408084239
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_2,36.198621525186
176.0,174.0,Layer_3,36.198621525186
36.0,11.0,Layer_1,337.03610539701384
36.0,11.0,Layer_2,337.03610539701384
36.0,11.0,Layer_3,337.03610539701384
36.0,2.0,Layer_1,279.4277063125362
36.0,2.0,Layer_2,279.4277063125362
36.0,2.0,Layer_3,279.4277063125362
11.0,2.0,Layer_1,108.28391377813966
11.0,2.0,Layer_2,108.28391377813966
11.0,2.0,Layer_3,108.28391377813966
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_4,36.198621525186
176.0,174.0,Layer_5,36.198621525186
75.0,39.0,Layer_1,253.00535096994747
75.0,39.0,Layer_4,253.00535096994747
75.0,39.0,Layer_5,253.00535096994747
19.0,28.0,Layer_1,504.1462890394871
19.0,28.0,Layer_4,504.1462890394871
19.0,28.0,Layer_5,504.1462890394871
36.0,11.0,Layer_1,429.1656989415358
36.0,11.0,Layer_4,429.1656989415358
36.0,11.0,Layer_5,429.1656989415358
36.0,2.0,Layer_1,279.4277063125362
36.0,2.0,Layer_4,279.4277063125362
36.0,2.0,Layer_5,279.4277063125362
33.0,11.0,Layer_1,630.3151234215861
33.0,11.0,Layer_4,630.3151234215861
33.0,11.0,Layer_5,630.3151234215861
39.0,20.0,Layer_1,295.1587933696381
39.0,20.0,Layer_4,295.1587933696381
39.0,20.0,Layer_5,295.1587933696381
39.0,62.0,Layer_1,261.8821190190721
39.0,62.0,Layer_4,261.8821190190721
39.0,62.0,Layer_5,261.8821190190721
20.0,62.0,Layer_1,328.7546548113471
20.0,62.0,Layer_4,328.7546548113471
20.0,62.0,Layer_5,328.7546548113471
11.0,2.0,Layer_1,200.4135073226617
11.0,2.0,Layer_4,200.4135073226617
11.0,2.0,Layer_5,200.4135073226617
11.0,28.0,Layer_1,494.94999333741
11.0,28.0,Layer_4,494.94999333741
11.0,28.0,Layer_5,494.94999333741
6.0,62.0,Layer_1,268.5302778116722
6.0,62.0,Layer_4,268.5302778116722
6.0,62.0,Layer_5,268.5302778116722
6.0,37.0,Layer_1,379.7550844327744
6.0,37.0,Layer_4,379.7550844327744
6.0,37.0,Layer_5,379.7550844327744
62.0,37.0,Layer_1,406.7027870818834
62.0,37.0,Layer_4,406.7027870818834
62.0,37.0,Layer_5,406.7027870818834
141.0,133.0,Layer_1,10.308869545100533
141.0,133.0,Layer_4,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
17.0,28.0,Layer_1,369.4847408084239
17.0,28.0,Layer_4,369.4847408084239
17.0,28.0,Layer_5,369.4847408084239
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_4,36.198621525186
176.0,174.0,Layer_3,36.198621525186
36.0,11.0,Layer_1,337.03610539701384
36.0,11.0,Layer_4,337.03610539701384
36.0,11.0,Layer_3,337.03610539701384
36.0,2.0,Layer_1,279.4277063125362
36.0,2.0,Layer_4,279.4277063125362
36.0,2.0,Layer_3,279.4277063125362
11.0,2.0,Layer_1,108.28391377813966
11.0,2.0,Layer_4,108.28391377813966
11.0,2.0,Layer_3,108.28391377813966
176.0,174.0,Layer_1,36.198621525186
176.0,174.0,Layer_5,36.198621525186
176.0,174.0,Layer_3,36.198621525186
75.0,39.0,Layer_1,253.00535096994747
75.0,39.0,Layer_5,253.00535096994747
75.0,39.0,Layer_3,253.00535096994747
19.0,28.0,Layer_1,504.1462890394871
19.0,28.0,Layer_5,504.1462890394871
19.0,28.0,Layer_3,504.1462890394871
36.0,11.0,Layer_1,429.1656989415358
36.0,11.0,Layer_5,429.1656989415358
36.0,11.0,Layer_3,429.1656989415358
36.0,2.0,Layer_1,279.4277063125362
36.0,2.0,Layer_5,279.4277063125362
36.0,2.0,Layer_3,279.4277063125362
33.0,11.0,Layer_1,630.3151234215861
33.0,11.0,Layer_5,630.3151234215861
33.0,11.0,Layer_3,630.3151234215861
39.0,20.0,Layer_1,295.1587933696381
39.0,20.0,Layer_5,295.1587933696381
39.0,20.0,Layer_3,295.1587933696381
39.0,62.0,Layer_1,261.8821190190721
39.0,62.0,Layer_5,261.8821190190721
39.0,62.0,Layer_3,261.8821190190721
20.0,62.0,Layer_1,328.7546548113471
20.0,62.0,Layer_5,328.7546548113471
20.0,62.0,Layer_3,328.7546548113471
11.0,2.0,Layer_1,200.4135073226617
11.0,2.0,Layer_5,200.4135073226617
11.0,2.0,Layer_3,200.4135073226617
11.0,28.0,Layer_1,494.94999333741
11.0,28.0,Layer_5,494.94999333741
11.0,28.0,Layer_3,494.94999333741
6.0,62.0,Layer_1,268.5302778116722
6.0,62.0,Layer_5,268.5302778116722
6.0,62.0,Layer_3,268.5302778116722
6.0,37.0,Layer_1,379.7550844327744
6.0,37.0,Layer_5,379.7550844327744
6.0,37.0,Layer_3,379.7550844327744
62.0,37.0,Layer_1,406.7027870818834
62.0,37.0,Layer_5,406.7027870818834
62.0,37.0,Layer_3,406.7027870818834
141.0,133.0,Layer_1,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
141.0,133.0,Layer_3,10.308869545100533
17.0,28.0,Layer_1,369.4847408084239
17.0,28.0,Layer_5,369.4847408084239
17.0,28.0,Layer_3,369.4847408084239
75.0,39.0,Layer_2,253.00535096994747
75.0,39.0,Layer_4,253.00535096994747
75.0,39.0,Layer_5,253.00535096994747
19.0,28.0,Layer_2,504.1462890394871
19.0,28.0,Layer_4,504.1462890394871
19.0,28.0,Layer_5,504.1462890394871
33.0,11.0,Layer_2,703.3260989089608
33.0,11.0,Layer_4,703.3260989089608
33.0,11.0,Layer_5,703.3260989089608
39.0,20.0,Layer_2,295.1587933696381
39.0,20.0,Layer_4,295.1587933696381
39.0,20.0,Layer_5,295.1587933696381
39.0,62.0,Layer_2,261.8821190190721
39.0,62.0,Layer_4,261.8821190190721
39.0,62.0,Layer_5,261.8821190190721
20.0,62.0,Layer_2,328.7546548113471
20.0,62.0,Layer_4,328.7546548113471
20.0,62.0,Layer_5,328.7546548113471
11.0,28.0,Layer_2,567.9609688247846
11.0,28.0,Layer_4,567.9609688247846
11.0,28.0,Layer_5,567.9609688247846
62.0,37.0,Layer_2,644.6086664635659
62.0,37.0,Layer_4,644.6086664635659
62.0,37.0,Layer_5,644.6086664635659
141.0,133.0,Layer_2,10.308869545100533
141.0,133.0,Layer_4,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
17.0,28.0,Layer_2,369.4847408084239
17.0,28.0,Layer_4,369.4847408084239
17.0,28.0,Layer_5,369.4847408084239
75.0,39.0,Layer_2,253.00535096994747
75.0,39.0,Layer_5,253.00535096994747
75.0,39.0,Layer_3,253.00535096994747
19.0,28.0,Layer_2,504.1462890394871
19.0,28.0,Layer_5,504.1462890394871
19.0,28.0,Layer_3,504.1462890394871
33.0,11.0,Layer_2,703.3260989089608
33.0,11.0,Layer_5,703.3260989089608
33.0,11.0,Layer_3,703.3260989089608
39.0,20.0,Layer_2,295.1587933696381
39.0,20.0,Layer_5,295.1587933696381
39.0,20.0,Layer_3,295.1587933696381
39.0,62.0,Layer_2,261.8821190190721
39.0,62.0,Layer_5,261.8821190190721
39.0,62.0,Layer_3,261.8821190190721
20.0,62.0,Layer_2,328.7546548113471
20.0,62.0,Layer_5,328.7546548113471
20.0,62.0,Layer_3,328.7546548113471
11.0,28.0,Layer_2,567.9609688247846
11.0,28.0,Layer_5,567.9609688247846
11.0,28.0,Layer_3,567.9609688247846
62.0,37.0,Layer_2,644.6086664635659
62.0,37.0,Layer_5,644.6086664635659
62.0,37.0,Layer_3,644.6086664635659
141.0,133.0,Layer_2,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
141.0,133.0,Layer_3,10.308869545100533
17.0,28.0,Layer_2,369.4847408084239
17.0,28.0,Layer_5,369.4847408084239
17.0,28.0,Layer_3,369.4847408084239
75.0,39.0,Layer_4,253.00535096994747
75.0,39.0,Layer_5,253.00535096994747
75.0,39.0,Layer_3,253.00535096994747
19.0,28.0,Layer_4,504.1462890394871
19.0,28.0,Layer_5,504.1462890394871
19.0,28.0,Layer_3,504.1462890394871
33.0,11.0,Layer_4,703.3260989089608
33.0,11.0,Layer_5,703.3260989089608
33.0,11.0,Layer_3,703.3260989089608
39.0,20.0,Layer_4,295.1587933696381
39.0,20.0,Layer_5,295.1587933696381
39.0,20.0,Layer_3,295.1587933696381
39.0,62.0,Layer_4,261.8821190190721
39.0,62.0,Layer_5,261.8821190190721
39.0,62.0,Layer_3,261.8821190190721
20.0,62.0,Layer_4,328.7546548113471
20.0,62.0,Layer_5,328.7546548113471
20.0,62.0,Layer_3,328.7546548113471
11.0,28.0,Layer_4,567.9609688247846
11.0,28.0,Layer_5,567.9609688247846
11.0,28.0,Layer_3,567.9609688247846
62.0,37.0,Layer_4,644.6086664635659
62.0,37.0,Layer_5,644.6086664635659
62.0,37.0,Layer_3,644.6086664635659
141.0,133.0,Layer_4,10.308869545100533
141.0,133.0,Layer_5,10.308869545100533
141.0,133.0,Layer_3,10.308869545100533
17.0,28.0,Layer_4,369.4847408084239
17.0,28.0,Layer_5,369.4847408084239
17.0,28.0,Layer_3,369.4847408084239
