Node_U,Node_V,Layer,weight
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_2,54.297932287779005
36.0,11.0,Layer_1,505.55415809552073
36.0,11.0,Layer_2,505.55415809552073
36.0,2.0,Layer_1,419.1415594688043
36.0,2.0,Layer_2,419.1415594688043
11.0,2.0,Layer_1,162.42587066720952
11.0,2.0,Layer_2,162.42587066720952
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_4,54.297932287779005
36.0,11.0,Layer_1,505.55415809552073
36.0,11.0,Layer_4,505.55415809552073
36.0,2.0,Layer_1,419.1415594688043
36.0,2.0,Layer_4,419.1415594688043
11.0,2.0,Layer_1,162.42587066720952
11.0,2.0,Layer_4,162.42587066720952
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_5,54.297932287779005
75.0,39.0,Layer_1,379.5080264549212
75.0,39.0,Layer_5,379.5080264549212
19.0,28.0,Layer_1,756.2194335592308
19.0,28.0,Layer_5,756.2194335592308
36.0,11.0,Layer_1,643.7485484123038
36.0,11.0,Layer_5,643.7485484123038
36.0,2.0,Layer_1,419.1415594688043
36.0,2.0,Layer_5,419.1415594688043
33.0,11.0,Layer_1,945.4726851323792
33.0,11.0,Layer_5,945.4726851323792
39.0,20.0,Layer_1,442.73819005445716
39.0,20.0,Layer_5,442.73819005445716
39.0,62.0,Layer_1,392.82317852860814
39.0,62.0,Layer_5,392.82317852860814
20.0,62.0,Layer_1,493.1319822170208
20.0,62.0,Layer_5,493.1319822170208
11.0,2.0,Layer_1,300.6202609839925
11.0,2.0,Layer_5,300.6202609839925
11.0,28.0,Layer_1,742.424990006115
11.0,28.0,Layer_5,742.424990006115
6.0,62.0,Layer_1,402.79541671750826
6.0,62.0,Layer_5,402.79541671750826
6.0,37.0,Layer_1,569.6326266491616
6.0,37.0,Layer_5,569.6326266491616
62.0,37.0,Layer_1,610.054180622825
62.0,37.0,Layer_5,610.054180622825
141.0,133.0,Layer_1,15.463304317650799
141.0,133.0,Layer_5,15.463304317650799
17.0,28.0,Layer_1,554.2271112126358
17.0,28.0,Layer_5,554.2271112126358
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_3,54.297932287779005
36.0,11.0,Layer_1,505.55415809552073
36.0,11.0,Layer_3,505.55415809552073
36.0,2.0,Layer_1,419.1415594688043
36.0,2.0,Layer_3,419.1415594688043
11.0,2.0,Layer_1,162.42587066720952
11.0,2.0,Layer_3,162.42587066720952
75.0,39.0,Layer_2,379.5080264549212
75.0,39.0,Layer_5,379.5080264549212
19.0,28.0,Layer_2,756.2194335592308
19.0,28.0,Layer_5,756.2194335592308
33.0,11.0,Layer_2,1054.9891483634412
33.0,11.0,Layer_5,1054.9891483634412
39.0,20.0,Layer_2,442.73819005445716
39.0,20.0,Layer_5,442.73819005445716
39.0,62.0,Layer_2,392.82317852860814
39.0,62.0,Layer_5,392.82317852860814
20.0,62.0,Layer_2,493.1319822170208
20.0,62.0,Layer_5,493.1319822170208
11.0,28.0,Layer_2,851.9414532371769
11.0,28.0,Layer_5,851.9414532371769
62.0,37.0,Layer_2,966.9129996953487
62.0,37.0,Layer_5,966.9129996953487
141.0,133.0,Layer_2,15.463304317650799
141.0,133.0,Layer_5,15.463304317650799
17.0,28.0,Layer_2,554.2271112126358
17.0,28.0,Layer_5,554.2271112126358
75.0,39.0,Layer_4,379.5080264549212
75.0,39.0,Layer_5,379.5080264549212
19.0,28.0,Layer_4,756.2194335592308
19.0,28.0,Layer_5,756.2194335592308
33.0,11.0,Layer_4,1054.9891483634412
33.0,11.0,Layer_5,1054.9891483634412
39.0,20.0,Layer_4,442.73819005445716
39.0,20.0,Layer_5,442.73819005445716
39.0,62.0,Layer_4,392.82317852860814
39.0,62.0,Layer_5,392.82317852860814
20.0,62.0,Layer_4,493.1319822170208
20.0,62.0,Layer_5,493.1319822170208
11.0,28.0,Layer_4,851.9414532371769
11.0,28.0,Layer_5,851.9414532371769
62.0,37.0,Layer_4,966.9129996953487
62.0,37.0,Layer_5,966.9129996953487
141.0,133.0,Layer_4,15.463304317650799
141.0,133.0,Layer_5,15.463304317650799
17.0,28.0,Layer_4,554.2271112126358
17.0,28.0,Layer_5,554.2271112126358
75.0,39.0,Layer_5,379.5080264549212
75.0,39.0,Layer_3,379.5080264549212
19.0,28.0,Layer_5,756.2194335592308
19.0,28.0,Layer_3,756.2194335592308
33.0,11.0,Layer_5,1054.9891483634412
33.0,11.0,Layer_3,1054.9891483634412
39.0,20.0,Layer_5,442.73819005445716
39.0,20.0,Layer_3,442.73819005445716
39.0,62.0,Layer_5,392.82317852860814
39.0,62.0,Layer_3,392.82317852860814
20.0,62.0,Layer_5,493.1319822170208
20.0,62.0,Layer_3,493.1319822170208
11.0,28.0,Layer_5,851.9414532371769
11.0,28.0,Layer_3,851.9414532371769
62.0,37.0,Layer_5,966.9129996953487
62.0,37.0,Layer_3,966.9129996953487
141.0,133.0,Layer_5,15.463304317650799
141.0,133.0,Layer_3,15.463304317650799
17.0,28.0,Layer_5,554.2271112126358
17.0,28.0,Layer_3,554.2271112126358
