Node_U,Node_V,Layer,weight
176.0,174.0,Layer_1,108.59586457555801
36.0,11.0,Layer_1,1602.5687653301106
36.0,2.0,Layer_1,1328.6473085036826
11.0,2.0,Layer_1,514.877828309023
75.0,39.0,Layer_5,379.5080264549212
19.0,28.0,Layer_5,504.14628903948716
33.0,11.0,Layer_5,1054.9891483634412
39.0,20.0,Layer_5,467.8156192489806
39.0,62.0,Layer_5,415.07333825462393
20.0,62.0,Layer_5,521.0637998135132
11.0,28.0,Layer_5,425.97072661858846
62.0,37.0,Layer_5,644.6086664635658
141.0,133.0,Layer_5,30.926608635301598
17.0,28.0,Layer_5,277.1135556063179
