Node_U,Node_V,Layer,weight
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_2,54.297932287779005
36.0,11.0,Layer_1,801.2843826650553
36.0,11.0,Layer_2,801.2843826650553
36.0,2.0,Layer_1,664.3236542518413
36.0,2.0,Layer_2,664.3236542518413
11.0,2.0,Layer_1,257.4389141545115
11.0,2.0,Layer_2,257.4389141545115
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_4,54.297932287779005
36.0,11.0,Layer_1,801.2843826650553
36.0,11.0,Layer_4,801.2843826650553
36.0,2.0,Layer_1,664.3236542518413
36.0,2.0,Layer_4,664.3236542518413
11.0,2.0,Layer_1,257.4389141545115
11.0,2.0,Layer_4,257.4389141545115
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_5,54.297932287779005
75.0,39.0,Layer_1,189.7540132274606
75.0,39.0,Layer_5,189.7540132274606
19.0,28.0,Layer_1,252.07314451974358
19.0,28.0,Layer_5,252.07314451974358
36.0,11.0,Layer_1,340.1057697090597
36.0,11.0,Layer_5,340.1057697090597
36.0,2.0,Layer_1,664.3236542518413
36.0,2.0,Layer_5,664.3236542518413
33.0,11.0,Layer_1,315.15756171079306
33.0,11.0,Layer_5,315.15756171079306
39.0,20.0,Layer_1,233.9078096244903
39.0,20.0,Layer_5,233.9078096244903
39.0,62.0,Layer_1,207.53666912731197
39.0,62.0,Layer_5,207.53666912731197
20.0,62.0,Layer_1,260.5318999067566
20.0,62.0,Layer_5,260.5318999067566
11.0,2.0,Layer_1,158.82394687221182
11.0,2.0,Layer_5,158.82394687221182
11.0,28.0,Layer_1,148.484998001223
11.0,28.0,Layer_5,148.484998001223
6.0,62.0,Layer_1,159.60390773990054
6.0,62.0,Layer_5,159.60390773990054
6.0,37.0,Layer_1,225.711588106554
6.0,37.0,Layer_5,225.711588106554
62.0,37.0,Layer_1,322.3043332317829
62.0,37.0,Layer_5,322.3043332317829
141.0,133.0,Layer_1,15.463304317650799
141.0,133.0,Layer_5,15.463304317650799
17.0,28.0,Layer_1,138.55677780315895
17.0,28.0,Layer_5,138.55677780315895
176.0,174.0,Layer_1,54.297932287779005
176.0,174.0,Layer_3,54.297932287779005
36.0,11.0,Layer_1,801.2843826650553
36.0,11.0,Layer_3,801.2843826650553
36.0,2.0,Layer_1,664.3236542518413
36.0,2.0,Layer_3,664.3236542518413
11.0,2.0,Layer_1,257.4389141545115
11.0,2.0,Layer_3,257.4389141545115
75.0,39.0,Layer_2,189.7540132274606
75.0,39.0,Layer_5,189.7540132274606
19.0,28.0,Layer_2,252.07314451974358
19.0,28.0,Layer_5,252.07314451974358
33.0,11.0,Layer_2,527.4945741817206
33.0,11.0,Layer_5,527.4945741817206
39.0,20.0,Layer_2,233.9078096244903
39.0,20.0,Layer_5,233.9078096244903
39.0,62.0,Layer_2,207.53666912731197
39.0,62.0,Layer_5,207.53666912731197
20.0,62.0,Layer_2,260.5318999067566
20.0,62.0,Layer_5,260.5318999067566
11.0,28.0,Layer_2,212.98536330929423
11.0,28.0,Layer_5,212.98536330929423
62.0,37.0,Layer_2,322.3043332317829
62.0,37.0,Layer_5,322.3043332317829
141.0,133.0,Layer_2,15.463304317650799
141.0,133.0,Layer_5,15.463304317650799
17.0,28.0,Layer_2,138.55677780315895
17.0,28.0,Layer_5,138.55677780315895
75.0,39.0,Layer_4,189.7540132274606
75.0,39.0,Layer_5,189.7540132274606
19.0,28.0,Layer_4,252.07314451974358
19.0,28.0,Layer_5,252.07314451974358
33.0,11.0,Layer_4,527.4945741817206
33.0,11.0,Layer_5,527.4945741817206
39.0,20.0,Layer_4,233.9078096244903
39.0,20.0,Layer_5,233.9078096244903
39.0,62.0,Layer_4,207.53666912731197
39.0,62.0,Layer_5,207.53666912731197
20.0,62.0,Layer_4,260.5318999067566
20.0,62.0,Layer_5,260.5318999067566
11.0,28.0,Layer_4,212.98536330929423
11.0,28.0,Layer_5,212.98536330929423
62.0,37.0,Layer_4,322.3043332317829
62.0,37.0,Layer_5,322.3043332317829
141.0,133.0,Layer_4,15.463304317650799
141.0,133.0,Layer_5,15.463304317650799
17.0,28.0,Layer_4,138.55677780315895
17.0,28.0,Layer_5,138.55677780315895
75.0,39.0,Layer_5,189.7540132274606
75.0,39.0,Layer_3,189.7540132274606
19.0,28.0,Layer_5,252.07314451974358
19.0,28.0,Layer_3,252.07314451974358
33.0,11.0,Layer_5,527.4945741817206
33.0,11.0,Layer_3,527.4945741817206
39.0,20.0,Layer_5,233.9078096244903
39.0,20.0,Layer_3,233.9078096244903
39.0,62.0,Layer_5,207.53666912731197
39.0,62.0,Layer_3,207.53666912731197
20.0,62.0,Layer_5,260.5318999067566
20.0,62.0,Layer_3,260.5318999067566
11.0,28.0,Layer_5,212.98536330929423
11.0,28.0,Layer_3,212.98536330929423
62.0,37.0,Layer_5,322.3043332317829
62.0,37.0,Layer_3,322.3043332317829
141.0,133.0,Layer_5,15.463304317650799
141.0,133.0,Layer_3,15.463304317650799
17.0,28.0,Layer_5,138.55677780315895
17.0,28.0,Layer_3,138.55677780315895
